Country,tenure_mode,year,value
Finland,Own outright,2017,32.70220160484314
Finland,Own outright,2018,33.1625759601593
Finland,Own outright,2019,33.05152654647827
Finland,Own outright,2020,33.186838030815125
Finland,Own outright,2021,NA
Finland,Owner with mortgage,2010,32.5514554977417
Finland,Owner with mortgage,2011,32.31152296066284
Finland,Owner with mortgage,2012,32.311224937438965
Finland,Owner with mortgage,2013,32.36929774284363
Finland,Owner with mortgage,2014,32.56443738937378
Finland,Owner with mortgage,2015,31.98082149028778
Finland,Owner with mortgage,2016,31.74024224281311
Finland,Owner with mortgage,2017,31.85858130455017
Finland,Owner with mortgage,2018,31.511306762695312
Finland,Owner with mortgage,2019,30.88735342025757
Finland,Owner with mortgage,2020,30.474796891212463
Finland,Owner with mortgage,2021,NA
Finland,Rent (private),2010,12.77862936258316
Finland,Rent (private),2011,13.129310309886932
Finland,Rent (private),2012,13.082562386989594
Finland,Rent (private),2013,13.82226049900055
Finland,Rent (private),2014,14.04017060995102
Finland,Rent (private),2015,15.021118521690369
Finland,Rent (private),2016,16.27505123615265
Finland,Rent (private),2017,16.56278669834137
Finland,Rent (private),2018,17.07196980714798
Finland,Rent (private),2019,17.930307984352112
Finland,Rent (private),2020,18.160425126552582
Finland,Rent (private),2021,NA
Finland,Rent (subsidized),2010,17.87710338830948
Finland,Rent (subsidized),2011,17.87721812725067
Finland,Rent (subsidized),2012,17.880885303020477
Finland,Rent (subsidized),2013,18.112565577030182
Finland,Rent (subsidized),2014,18.465881049633026
Finland,Rent (subsidized),2015,17.962390184402466
Finland,Rent (subsidized),2016,17.93612688779831
Finland,Rent (subsidized),2017,17.517992854118347
Finland,Rent (subsidized),2018,17.019160091876984
Finland,Rent (subsidized),2019,16.99114739894867
Finland,Rent (subsidized),2020,17.121021449565887
Finland,Rent (subsidized),2021,NA
Finland,"Other, unknown",2010,0.9428581222891808
Finland,"Other, unknown",2011,1.0684926062822342
Finland,"Other, unknown",2012,0.9539985097944736
Finland,"Other, unknown",2013,0.7995931431651115
Finland,"Other, unknown",2014,1.0860776528716087
Finland,"Other, unknown",2015,1.110127568244934
Finland,"Other, unknown",2016,1.1712323874235153
Finland,"Other, unknown",2017,1.3584366999566555
Finland,"Other, unknown",2018,1.234988123178482
Finland,"Other, unknown",2019,1.1396653950214386
Finland,"Other, unknown",2020,1.0569175705313683
Finland,"Other, unknown",2021,NA
France,Own outright,2010,37.70367503166199
France,Own outright,2011,38.43774199485779
France,Own outright,2012,38.69982659816742
France,Own outright,2013,37.80113458633423
France,Own outright,2014,38.73402774333954
France,Own outright,2015,38.41656446456909
France,Own outright,2016,38.713499903678894
France,Own outright,2017,38.2847934961319
France,Own outright,2018,38.014477491378784
France,Own outright,2019,37.089917063713074
France,Own outright,2020,38.591426610946655
France,Own outright,2021,NA
France,Owner with mortgage,2010,21.09442502260208
France,Owner with mortgage,2011,21.596917510032654
France,Owner with mortgage,2012,21.93746715784073
France,Owner with mortgage,2013,23.276472091674805
France,Owner with mortgage,2014,22.701700031757355
France,Owner with mortgage,2015,22.523927688598633
France,Owner with mortgage,2016,22.776447236537933
France,Owner with mortgage,2017,22.657452523708344
France,Owner with mortgage,2018,23.93583506345749
France,Owner with mortgage,2019,23.50289821624756
France,Owner with mortgage,2020,23.074953258037567
France,Owner with mortgage,2021,NA
France,Rent (private),2010,17.697489261627197
France,Rent (private),2011,17.35391467809677
France,Rent (private),2012,21.12991511821747
France,Rent (private),2013,21.578378975391388
France,Rent (private),2014,21.367649734020233
France,Rent (private),2015,21.977272629737854
France,Rent (private),2016,21.184514462947845
France,Rent (private),2017,20.945867896080017
France,Rent (private),2018,20.074711740016937
France,Rent (private),2019,20.8371102809906
France,Rent (private),2020,17.539848387241364
France,Rent (private),2021,NA
France,Rent (subsidized),2010,19.741536676883698
France,Rent (subsidized),2011,18.858326971530914
France,Rent (subsidized),2012,14.711213111877441
France,Rent (subsidized),2013,13.869361579418182
France,Rent (subsidized),2014,14.136679470539093
France,Rent (subsidized),2015,13.939952850341797
France,Rent (subsidized),2016,14.0885591506958
France,Rent (subsidized),2017,14.968650043010712
France,Rent (subsidized),2018,14.914824068546295
France,Rent (subsidized),2019,15.804985165596008
France,Rent (subsidized),2020,18.470661342144012
France,Rent (subsidized),2021,NA
France,"Other, unknown",2010,3.7628691643476486
France,"Other, unknown",2011,3.7530992180109024
France,"Other, unknown",2012,3.5215798765420914
France,"Other, unknown",2013,3.474656119942665
France,"Other, unknown",2014,3.059942089021206
France,"Other, unknown",2015,3.1422778964042664
France,"Other, unknown",2016,3.236980363726616
France,"Other, unknown",2017,3.1432408839464188
France,"Other, unknown",2018,3.0601482838392258
France,"Other, unknown",2019,2.7650929987430573
France,"Other, unknown",2020,2.323107421398163
France,"Other, unknown",2021,NA
Germany,Own outright,2010,25.480917096138
Germany,Own outright,2011,NA
Germany,Own outright,2012,25.26232600212097
Germany,Own outright,2013,NA
Germany,Own outright,2014,25.958555936813354
Germany,Own outright,2015,24.82961118221283
Germany,Own outright,2016,25.14977753162384
Germany,Own outright,2017,25.378751754760742
Germany,Own outright,2018,25.681832432746887
Germany,Own outright,2019,25.550606846809387
Germany,Own outright,2020,NA
Germany,Own outright,2021,NA
Germany,Owner with mortgage,2010,18.853239715099335
Germany,Owner with mortgage,2011,NA
Germany,Owner with mortgage,2012,19.52028125524521
Germany,Owner with mortgage,2013,NA
Germany,Owner with mortgage,2014,19.040800631046295
Germany,Owner with mortgage,2015,19.047480821609497
Germany,Owner with mortgage,2016,19.066445529460907
Germany,Owner with mortgage,2017,18.427573144435883
Germany,Owner with mortgage,2018,18.406400084495544
Germany,Owner with mortgage,2019,18.211087584495544
Germany,Owner with mortgage,2020,NA
Germany,Owner with mortgage,2021,NA
Germany,Rent (private),2010,52.72706747055054
Germany,Rent (private),2011,NA
Germany,Rent (private),2012,52.42548584938049
Germany,Rent (private),2013,NA
Germany,Rent (private),2014,50.284236669540405
Germany,Rent (private),2015,46.6753363609314
Germany,Rent (private),2016,46.13027274608612
Germany,Rent (private),2017,46.596160531044006
Germany,Rent (private),2018,47.098371386528015
Germany,Rent (private),2019,47.340258955955505
Germany,Rent (private),2020,NA
Germany,Rent (private),2021,NA
Germany,Rent (subsidized),2010,2.444598264992237
Germany,Rent (subsidized),2011,NA
Germany,Rent (subsidized),2012,2.470639906823635
Germany,Rent (subsidized),2013,NA
Germany,Rent (subsidized),2014,4.38169427216053
Germany,Rent (subsidized),2015,6.738901883363724
Germany,Rent (subsidized),2016,6.906231492757797
Germany,Rent (subsidized),2017,6.886368244886398
Germany,Rent (subsidized),2018,6.508683413267136
Germany,Rent (subsidized),2019,6.581919640302658
Germany,Rent (subsidized),2020,NA
Germany,Rent (subsidized),2021,NA
Germany,"Other, unknown",2010,0.49417419359087944
Germany,"Other, unknown",2011,NA
Germany,"Other, unknown",2012,0.32126009464263916
Germany,"Other, unknown",2013,NA
Germany,"Other, unknown",2014,0.33471561037003994
Germany,"Other, unknown",2015,2.7086742222309113
Germany,"Other, unknown",2016,2.7472710236907005
Germany,"Other, unknown",2017,2.711147628724575
Germany,"Other, unknown",2018,2.3047130554914474
Germany,"Other, unknown",2019,2.3161303251981735
Germany,"Other, unknown",2020,NA
Germany,"Other, unknown",2021,NA
Greece,Own outright,2010,59.08005237579346
Greece,Own outright,2011,59.01331901550293
Greece,Own outright,2012,60.7596218585968
Greece,Own outright,2013,60.40629744529724
Greece,Own outright,2014,61.89161539077759
Greece,Own outright,2015,62.233150005340576
Greece,Own outright,2016,61.83723211288452
Greece,Own outright,2017,59.73711609840393
Greece,Own outright,2018,60.793906450271606
Greece,Own outright,2019,63.04619312286377
Greece,Own outright,2020,63.603782653808594
Greece,Own outright,2021,NA
Greece,Owner with mortgage,2010,13.977417349815369
Greece,Owner with mortgage,2011,12.70456314086914
Greece,Owner with mortgage,2012,12.262436002492905
Greece,Owner with mortgage,2013,12.431355565786362
Greece,Owner with mortgage,2014,10.178250819444656
Greece,Owner with mortgage,2015,10.69151759147644
Greece,Owner with mortgage,2016,10.558490455150604
Greece,Owner with mortgage,2017,12.259817868471146
Greece,Owner with mortgage,2018,11.549166589975357
Greece,Owner with mortgage,2019,10.15748679637909
Greece,Owner with mortgage,2020,9.187109768390656
Greece,Owner with mortgage,2021,NA
Greece,Rent (private),2010,21.660952270030975
Greece,Rent (private),2011,21.10409289598465
Greece,Rent (private),2012,20.979049801826477
Greece,Rent (private),2013,20.973671972751617
Greece,Rent (private),2014,21.153590083122253
Greece,Rent (private),2015,21.339939534664154
Greece,Rent (private),2016,21.597711741924286
Greece,Rent (private),2017,21.55318856239319
Greece,Rent (private),2018,21.497641503810883
Greece,Rent (private),2019,21.47062122821808
Greece,Rent (private),2020,21.368511021137238
Greece,Rent (private),2021,NA
Greece,Rent (subsidized),2010,0.7408904377371073
Greece,Rent (subsidized),2011,1.5482749789953232
Greece,Rent (subsidized),2012,0.8853456936776638
Greece,Rent (subsidized),2013,0.7774765137583017
Greece,Rent (subsidized),2014,0.44226301833987236
Greece,Rent (subsidized),2015,0.42008738964796066
Greece,Rent (subsidized),2016,0.18230698769912124
Greece,Rent (subsidized),2017,0.19887606613337994
Greece,Rent (subsidized),2018,0.25350518990308046
Greece,Rent (subsidized),2019,0.2805151976644993
Greece,Rent (subsidized),2020,0.3826321102678776
Greece,Rent (subsidized),2021,NA
Greece,"Other, unknown",2010,4.540688171982765
Greece,"Other, unknown",2011,5.6297507137060165
Greece,"Other, unknown",2012,5.113544687628746
Greece,"Other, unknown",2013,5.4111965000629425
Greece,"Other, unknown",2014,6.334281712770462
Greece,"Other, unknown",2015,5.3153034299612045
Greece,"Other, unknown",2016,5.82425594329834
Greece,"Other, unknown",2017,6.251004338264465
Greece,"Other, unknown",2018,5.905779078602791
Greece,"Other, unknown",2019,5.045185983181
Greece,"Other, unknown",2020,5.457967519760132
Greece,"Other, unknown",2021,NA
Hungary,Own outright,2010,69.27338242530823
Hungary,Own outright,2011,70.14460563659668
Hungary,Own outright,2012,72.31572270393372
Hungary,Own outright,2013,72.77180552482605
Hungary,Own outright,2014,73.6720323562622
Hungary,Own outright,2015,69.75463032722473
Hungary,Own outright,2016,74.26100969314575
Hungary,Own outright,2017,72.83549308776855
Hungary,Own outright,2018,73.25322031974792
Hungary,Own outright,2019,78.9401113986969
Hungary,Own outright,2020,78.92483472824097
Hungary,Own outright,2021,NA
Hungary,Owner with mortgage,2010,18.86836886405945
Hungary,Owner with mortgage,2011,18.123380839824677
Hungary,Owner with mortgage,2012,16.867712140083313
Hungary,Owner with mortgage,2013,15.722136199474335
Hungary,Owner with mortgage,2014,13.55418711900711
Hungary,Owner with mortgage,2015,13.722875714302063
Hungary,Owner with mortgage,2016,11.675629019737244
Hungary,Owner with mortgage,2017,11.917239427566528
Hungary,Owner with mortgage,2018,11.5350641310215
Hungary,Owner with mortgage,2019,11.924375593662262
Hungary,Owner with mortgage,2020,12.075082957744598
Hungary,Owner with mortgage,2021,NA
Hungary,Rent (private),2010,2.7426864951848984
Hungary,Rent (private),2011,3.3651456236839294
Hungary,Rent (private),2012,3.2964061945676804
Hungary,Rent (private),2013,3.5239800810813904
Hungary,Rent (private),2014,4.3096743524074554
Hungary,Rent (private),2015,4.818578809499741
Hungary,Rent (private),2016,4.573754593729973
Hungary,Rent (private),2017,5.448983609676361
Hungary,Rent (private),2018,5.190365761518478
Hungary,Rent (private),2019,4.411451891064644
Hungary,Rent (private),2020,4.53006736934185
Hungary,Rent (private),2021,NA
Hungary,Rent (subsidized),2010,3.4400783479213715
Hungary,Rent (subsidized),2011,3.3957816660404205
Hungary,Rent (subsidized),2012,3.506382927298546
Hungary,Rent (subsidized),2013,3.299003094434738
Hungary,Rent (subsidized),2014,3.516937419772148
Hungary,Rent (subsidized),2015,3.322712332010269
Hungary,Rent (subsidized),2016,3.7168405950069427
Hungary,Rent (subsidized),2017,3.709954023361206
Hungary,Rent (subsidized),2018,3.7420719861984253
Hungary,Rent (subsidized),2019,3.4443259239196777
